Ticker,Date/Time,Open,High,Low,Close,Volume
SET,30/04/1975,100.00,100.00,100.00,100.00,163310
SET,02/05/1975,99.96,99.96,99.96,99.96,150220
SET,06/05/1975,99.53,99.53,99.53,99.53,260100
SET,07/05/1975,99.13,99.13,99.13,99.13,35480
SET,08/05/1975,97.88,97.88,97.88,97.88,52500
SET,09/05/1975,96.64,96.64,96.64,96.64,157050
SET,12/05/1975,95.37,95.37,95.37,95.37,16000
SET,13/05/1975,92.55,92.55,92.55,92.55,62000
SET,14/05/1975,92.11,92.11,92.11,92.11,581260
SET,15/05/1975,90.32,90.32,90.32,90.32,42120
SET,16/05/1975,89.45,89.45,89.45,89.45,78720
SET,19/05/1975,87.11,87.11,87.11,87.11,31420
SET,20/05/1975,85.73,85.73,85.73,85.73,146370
SET,21/05/1975,85.73,85.73,85.73,85.73,161900
SET,22/05/1975,90.94,90.94,90.94,90.94,181000
SET,23/05/1975,91.91,91.91,91.91,91.91,167000
SET,26/05/1975,90.69,90.69,90.69,90.69,123720
SET,27/05/1975,88.89,88.89,88.89,88.89,631000
SET,28/05/1975,89.57,89.57,89.57,89.57,38570
SET,29/05/1975,89.98,89.98,89.98,89.98,126080
SET,30/05/1975,89.98,89.98,89.98,89.98,52000
SET,02/06/1975,89.53,89.53,89.53,89.53,27260
SET,03/06/1975,89.53,89.53,89.53,89.53,22000
SET,04/06/1975,89.42,89.42,89.42,89.42,18610
SET,05/06/1975,89.56,89.56,89.56,89.56,56890
SET,06/06/1975,89.55,89.55,89.55,89.55,59500
SET,09/06/1975,89.54,89.54,89.54,89.54,47900
SET,10/06/1975,89.54,89.54,89.54,89.54,23000
SET,11/06/1975,89.99,89.99,89.99,89.99,37170
SET,12/06/1975,90.03,90.03,90.03,90.03,81000
SET,13/06/1975,90.19,90.19,90.19,90.19,61550
SET,16/06/1975,90.61,90.61,90.61,90.61,43000
SET,17/06/1975,90.91,90.91,90.91,90.91,29350
SET,18/06/1975,90.79,90.79,90.79,90.79,514850
SET,19/06/1975,90.79,90.79,90.79,90.79,41580
SET,20/06/1975,90.71,90.71,90.71,90.71,175300
SET,23/06/1975,90.89,90.89,90.89,90.89,97320
SET,24/06/1975,90.96,90.96,90.96,90.96,35000
SET,25/06/1975,91.38,91.38,91.38,91.38,82500
SET,26/06/1975,91.12,91.12,91.12,91.12,207500
SET,27/06/1975,91.27,91.27,91.27,91.27,69660
SET,30/06/1975,91.64,91.64,91.64,91.64,73790
SET,02/07/1975,91.90,91.90,91.90,91.90,64330
SET,03/07/1975,92.67,92.67,92.67,92.67,261040
SET,04/07/1975,93.93,93.93,93.93,93.93,94200
SET,07/07/1975,95.18,95.18,95.18,95.18,210390
SET,08/07/1975,94.87,94.87,94.87,94.87,123910
SET,09/07/1975,95.49,95.49,95.49,95.49,60980
SET,10/07/1975,96.43,96.43,96.43,96.43,574080
SET,11/07/1975,98.04,98.04,98.04,98.04,435050
SET,14/07/1975,99.53,99.53,99.53,99.53,570210
SET,15/07/1975,99.98,99.98,99.98,99.98,1545930
SET,16/07/1975,99.43,99.43,99.43,99.43,177080
SET,17/07/1975,99.77,99.77,99.77,99.77,133630
SET,18/07/1975,99.72,99.72,99.72,99.72,376040
SET,21/07/1975,100.02,100.02,100.02,100.02,319360
SET,22/07/1975,99.71,99.71,99.71,99.71,285130
SET,23/07/1975,100.11,100.11,100.11,100.11,137630
SET,25/07/1975,100.02,100.02,100.02,100.02,511020
SET,28/07/1975,99.65,99.65,99.65,99.65,181760
SET,29/07/1975,97.90,97.90,97.90,97.90,213830
SET,30/07/1975,97.09,97.09,97.09,97.09,113000
SET,31/07/1975,98.02,98.02,98.02,98.02,570810
SET,01/08/1975,100.00,100.00,100.00,100.00,705760
SET,04/08/1975,99.90,99.90,99.90,99.90,649960
SET,05/08/1975,99.76,99.76,99.76,99.76,533640
